longitude,latitude,issue_type,issue_Description,ticket_created_date_time
-8928158.45592681,2975271.81714141,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/31 08:49:41.484+00
-8930636.87306983,2978674.51004236,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/31 12:00:39.267+00
-8930114.78465801,2966800.60837723,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/01 11:17:53.153+00
-8933512.70079498,2971257.98944492,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/26 07:57:38.030+00
-8930961.92598295,2971333.27337475,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/26 09:14:05.020+00
-8926718.87227187,2971049.94079111,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/25 10:46:48.605+00
-8930892.23998171,2971311.88726015,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/26 11:43:24.598+00
-8940145.78397339,2970213.20211702,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/01 12:47:40.910+00
-8940119.28993458,2970293.42510396,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/01 12:55:09.282+00
-8930858.17621753,2969186.04053562,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/01 13:06:20.656+00
-8936033.19670553,2970699.2439463,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/01 13:24:47.342+00
-8934483.96335215,2963578.70863792,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/01 13:42:53.208+00
-8926246.87763091,2974209.0627237,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/31 15:52:44.925+00
-8926784.10549348,2979294.90811363,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/01 13:45:18.750+00
-8939680.46850188,2970585.64320601,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/01 13:52:00.829+00
-8926730.5608184,2971042.64739807,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/01 13:57:08.176+00
-8927573.47200269,2971237.22153228,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/01 13:59:44.591+00
-8925206.48566995,2980269.71347903,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/25 11:35:03.940+00
-8933048.27587939,2966559.99798747,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/01 14:01:40.374+00
-8926431.7793051209,2970775.63753946,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/02 10:44:27.485+00
-8927619.55827188,2974283.86723197,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/01 14:46:52.262+00
-8929456.77514793,2977551.77512686,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/27 09:42:30.598+00
-8927787.65070298,2976637.62231869,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/27 13:24:43.054+00
-8932442.36389101,2972282.57631519,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/07 10:16:48.488+00
-8929739.19269607,2966928.39176872,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/07 11:03:50.392+00
-8930567.85498554,2973016.32241412,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/07 11:06:33.210+00
-8927368.31018116,2972433.40233817,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/07 14:09:49.855+00
-8929374.9553222,2978149.12171513,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/07 14:21:59.576+00
-8929384.30615942,2976553.90203122,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/07 14:23:32.880+00
-8932325.1444672,2972217.05401809,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/07 14:24:52.448+00
-8929406.68137707,2976587.66214864,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/07 14:26:13.432+00
-8930755.53964702,2968705.857886,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/07 14:27:28.393+00
-8933844.87815551,2971368.62852276,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/07 16:03:22.446+00
-8940271.4636785,2970597.633667,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/03 09:11:27.567+00
-8940858.22871447,2969943.73520255,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/03 09:13:21.928+00
-8940667.20446827,2970273.89465996,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/03 09:19:33.072+00
-8940596.40527212,2970444.35428525,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/03 09:20:55.493+00
-8940512.35905658,2970428.16115377,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/03 09:22:07.075+00
-8939577.3866534,2970418.14861577,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/03 09:24:38.668+00
-8939677.35155613,2970501.46302901,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/03 09:25:53.750+00
-8939675.45912479,2970449.91681546,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/03 09:27:14.779+00
-8940147.23112677,2970273.40021868,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/03 09:29:09.275+00
-8940358.62683979,2969821.24064036,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/03 09:40:10.408+00
-8940316.32543329,2969822.84752507,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/03 09:42:08.964+00
-8939551.89449001,2970318.64166503,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/03 09:43:17.611+00
-8940145.89529288,2970225.31588354,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/03 09:44:31.370+00
-8940404.49047,2970339.16105554,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/03 09:45:48.388+00
-8940555.21706053,2970478.34755833,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/03 09:47:01.389+00
-8927470.16751523,2975127.26811962,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/03 11:21:38.842+00
-8926638.94487748,2972884.90065761,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/08 08:38:15.946+00
-8928114.48472795,2970615.31034385,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/08 12:34:58.002+00
-8926246.87763091,2974209.0627237,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/08 16:32:56.386+00
-8931443.04882216,2970477.85311016,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/09 09:06:47.443+00
-8927345.60100504,2972044.47216123,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/09 10:07:47.927+00
-8927318.55036877,2972086.01030221,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/09 10:09:36.279+00
-8925128.00542894,2979602.51954242,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/09 11:44:10.752+00
-8930020.38572982,2970302.20145118,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/06 16:28:15.329+00
-8931543.45900285,2975223.71641039,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/09 12:31:56.651+00
-8933446.79965643,2964745.72234623,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/09 12:59:46.795+00
-8934404.14727726,2971255.02259846,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/09 14:29:17.677+00
-8927955.52049509,2979967.28309147,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/09 15:10:35.163+00
-8927353.05941092,2972077.97464076,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/10 07:52:00.170+00
-8932113.30347622,2974022.11494444,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/10 08:39:38.724+00
-8932141.9125853609,2974027.80247398,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/10 09:02:39.843+00
-8931999.42363714,2973838.6314799,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/10 09:08:11.216+00
-8931718.00796442,2973985.8879059,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/10 09:10:15.418+00
-8931679.60274009,2973929.63107817,COMPWSF,STORM FLOOD/ DRAINAGE,2022/11/10 09:12:17.491+00
